state,abbreviation,date,cases
Alabama,AL,2020-01-22,0
Alabama,AL,2020-01-23,0
Alabama,AL,2020-01-24,0
Alabama,AL,2020-01-25,0
Alabama,AL,2020-01-26,0
Alabama,AL,2020-01-27,0
Alabama,AL,2020-01-28,0
Alabama,AL,2020-01-29,0
Alabama,AL,2020-01-30,0
Alabama,AL,2020-01-31,0
Alabama,AL,2020-02-01,0
Alabama,AL,2020-02-02,0
Alabama,AL,2020-02-03,0
Alabama,AL,2020-02-04,0
Alabama,AL,2020-02-05,0
Alabama,AL,2020-02-06,0
Alabama,AL,2020-02-07,0
Alabama,AL,2020-02-08,0
Alabama,AL,2020-02-09,0
Alabama,AL,2020-02-10,0
Alabama,AL,2020-02-11,0
Alabama,AL,2020-02-12,0
Alabama,AL,2020-02-13,0
Alabama,AL,2020-02-14,0
Alabama,AL,2020-02-15,0
Alabama,AL,2020-02-16,0
Alabama,AL,2020-02-17,0
Alabama,AL,2020-02-18,0
Alabama,AL,2020-02-19,0
Alabama,AL,2020-02-20,0
Alabama,AL,2020-02-21,0
Alabama,AL,2020-02-22,0
Alabama,AL,2020-02-23,0
Alabama,AL,2020-02-24,0
Alabama,AL,2020-02-25,0
Alabama,AL,2020-02-26,0
Alabama,AL,2020-02-27,0
Alabama,AL,2020-02-28,0
Alabama,AL,2020-02-29,0
Alabama,AL,2020-03-01,0
Alabama,AL,2020-03-02,0
Alabama,AL,2020-03-03,0
Alabama,AL,2020-03-04,0
Alabama,AL,2020-03-05,0
Alabama,AL,2020-03-06,0
Alabama,AL,2020-03-07,0
Alabama,AL,2020-03-08,0
Alabama,AL,2020-03-09,0
Alabama,AL,2020-03-10,0
Alabama,AL,2020-03-11,0
Alabama,AL,2020-03-12,0
Alabama,AL,2020-03-13,5
Alabama,AL,2020-03-14,6
Alabama,AL,2020-03-15,12
Alabama,AL,2020-03-16,29
Alabama,AL,2020-03-17,39
Alabama,AL,2020-03-18,46
Alabama,AL,2020-03-19,78
Alabama,AL,2020-03-20,83
Alabama,AL,2020-03-21,131
Alabama,AL,2020-03-22,138
Alaska,AK,2020-01-22,0
Alaska,AK,2020-01-23,0
Alaska,AK,2020-01-24,0
Alaska,AK,2020-01-25,0
Alaska,AK,2020-01-26,0
Alaska,AK,2020-01-27,0
Alaska,AK,2020-01-28,0
Alaska,AK,2020-01-29,0
Alaska,AK,2020-01-30,0
Alaska,AK,2020-01-31,0
Alaska,AK,2020-02-01,0
Alaska,AK,2020-02-02,0
Alaska,AK,2020-02-03,0
Alaska,AK,2020-02-04,0
Alaska,AK,2020-02-05,0
Alaska,AK,2020-02-06,0
Alaska,AK,2020-02-07,0
Alaska,AK,2020-02-08,0
Alaska,AK,2020-02-09,0
Alaska,AK,2020-02-10,0
Alaska,AK,2020-02-11,0
Alaska,AK,2020-02-12,0
Alaska,AK,2020-02-13,0
Alaska,AK,2020-02-14,0
Alaska,AK,2020-02-15,0
Alaska,AK,2020-02-16,0
Alaska,AK,2020-02-17,0
Alaska,AK,2020-02-18,0
Alaska,AK,2020-02-19,0
Alaska,AK,2020-02-20,0
Alaska,AK,2020-02-21,0
Alaska,AK,2020-02-22,0
Alaska,AK,2020-02-23,0
Alaska,AK,2020-02-24,0
Alaska,AK,2020-02-25,0
Alaska,AK,2020-02-26,0
Alaska,AK,2020-02-27,0
Alaska,AK,2020-02-28,0
Alaska,AK,2020-02-29,0
Alaska,AK,2020-03-01,0
Alaska,AK,2020-03-02,0
Alaska,AK,2020-03-03,0
Alaska,AK,2020-03-04,0
Alaska,AK,2020-03-05,0
Alaska,AK,2020-03-06,0
Alaska,AK,2020-03-07,0
Alaska,AK,2020-03-08,0
Alaska,AK,2020-03-09,0
Alaska,AK,2020-03-10,0
Alaska,AK,2020-03-11,0
Alaska,AK,2020-03-12,0
Alaska,AK,2020-03-13,1
Alaska,AK,2020-03-14,1
Alaska,AK,2020-03-15,1
Alaska,AK,2020-03-16,1
Alaska,AK,2020-03-17,3
Alaska,AK,2020-03-18,6
Alaska,AK,2020-03-19,9
Alaska,AK,2020-03-20,12
Alaska,AK,2020-03-21,15
Alaska,AK,2020-03-22,21
Arizona,AZ,2020-01-22,0
Arizona,AZ,2020-01-23,0
Arizona,AZ,2020-01-24,0
Arizona,AZ,2020-01-25,0
Arizona,AZ,2020-01-26,0
Arizona,AZ,2020-01-27,0
Arizona,AZ,2020-01-28,0
Arizona,AZ,2020-01-29,0
Arizona,AZ,2020-01-30,0
Arizona,AZ,2020-01-31,0
Arizona,AZ,2020-02-01,0
Arizona,AZ,2020-02-02,0
Arizona,AZ,2020-02-03,0
Arizona,AZ,2020-02-04,0
Arizona,AZ,2020-02-05,0
Arizona,AZ,2020-02-06,0
Arizona,AZ,2020-02-07,0
Arizona,AZ,2020-02-08,0
Arizona,AZ,2020-02-09,0
Arizona,AZ,2020-02-10,0
Arizona,AZ,2020-02-11,0
Arizona,AZ,2020-02-12,0
Arizona,AZ,2020-02-13,0
Arizona,AZ,2020-02-14,0
Arizona,AZ,2020-02-15,0
Arizona,AZ,2020-02-16,0
Arizona,AZ,2020-02-17,0
Arizona,AZ,2020-02-18,0
Arizona,AZ,2020-02-19,0
Arizona,AZ,2020-02-20,0
Arizona,AZ,2020-02-21,0
Arizona,AZ,2020-02-22,0
Arizona,AZ,2020-02-23,0
Arizona,AZ,2020-02-24,0
Arizona,AZ,2020-02-25,0
Arizona,AZ,2020-02-26,0
Arizona,AZ,2020-02-27,0
Arizona,AZ,2020-02-28,0
Arizona,AZ,2020-02-29,0
Arizona,AZ,2020-03-01,0
Arizona,AZ,2020-03-02,0
Arizona,AZ,2020-03-03,0
Arizona,AZ,2020-03-04,0
Arizona,AZ,2020-03-05,0
Arizona,AZ,2020-03-06,0
Arizona,AZ,2020-03-07,0
Arizona,AZ,2020-03-08,0
Arizona,AZ,2020-03-09,0
Arizona,AZ,2020-03-10,6
Arizona,AZ,2020-03-11,9
Arizona,AZ,2020-03-12,9
Arizona,AZ,2020-03-13,9
Arizona,AZ,2020-03-14,12
Arizona,AZ,2020-03-15,13
Arizona,AZ,2020-03-16,18
Arizona,AZ,2020-03-17,20
Arizona,AZ,2020-03-18,27
Arizona,AZ,2020-03-19,45
Arizona,AZ,2020-03-20,78
Arizona,AZ,2020-03-21,118
Arizona,AZ,2020-03-22,152
Arkansas,AR,2020-01-22,0
Arkansas,AR,2020-01-23,0
Arkansas,AR,2020-01-24,0
Arkansas,AR,2020-01-25,0
Arkansas,AR,2020-01-26,0
Arkansas,AR,2020-01-27,0
Arkansas,AR,2020-01-28,0
Arkansas,AR,2020-01-29,0
Arkansas,AR,2020-01-30,0
Arkansas,AR,2020-01-31,0
Arkansas,AR,2020-02-01,0
Arkansas,AR,2020-02-02,0
Arkansas,AR,2020-02-03,0
